"Credit Card Owner","Títular do cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Webhook Key","Chave do Webhook"
"Card Verification Number","Número de Verificação"
"Expiration Date","Data de Vencimento"
"Month","Mês"
"Year","Ano"
"Invalid webhook attempt from IP %s","Tentativa inválida de acessar o webhook com o IP %s"
"Webhook New Event!\n%s","Novo evento dos webhooks!\n%s"
"Offline Payment Methods","Metodos de Pagamento Offline"
"Ignoring the event 'bill_created' for single sell","Ignorando o evento 'bill_created' para venda avulsa."
"Error while interpreting webhook 'bill_created'","Erro ao interpretar webhook 'bill_created'."
"There is no cycle %s of signature %d.","Ainda não existe um pedido para ciclo %s da assinatura: %d."
"Generating invoice for the order %s.","Gerando fatura para o pedido: %s."
"The payment was confirmed and the order is beeing processed","O pagamento foi confirmado e o pedido está sendo processado."
"Impossible to generate invoice for order %s.","Impossível gerar fatura para o pedido %s."
"Invoice created with success","Fatura gerada com sucesso."
"Order not found","Pedido não encontrado."
"Payment rejected. Motive: '%s'","Tentativa de Pagamento rejeitada. Motivo: '%s'"
"All payment tries were rejected. Motive: '%s'.","Todas as tentativas de pagamento foram rejeitadas. Motivo: '%s'."
"Payment try rejected. Motive: '%s'. A new try will be made","Tentativa de Pagamento rejeitada. Motivo: '%s'. Uma nova tentativa será feita.'"
"No order was found to invoice: %d","Nenhum pedido encontrado para a fatura: %d."
"Webhook event not found!","Evento do Webhook não encontrado!"
"Fail when interpreting webhook JSON: %s","Falha ao interpretar JSON do webhook: %s"
"Webhook test event.","Evento de teste do webhook."
"Webhook event ignored by plugin: '%s'.","Evento do webhook ignorado pelo plugin: '%s'."
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"[Request #%s]: New Api Request.\n%s %s\n%s","[Request #%s]: Novo Request para a API.\n%s %s\n%s"
"[Request #%s]: Error while executing request!\n%s","[Request #%s]: Erro ao fazer request!\n%s"
"[Request #%s]: New API Answer.\n%s\n%s","[Request #%s]: Nova Resposta da API.\n%s\n%s"
"[Request #%s]: Error while recovering request body! %s","[Request #%s]: Erro ao recuperar corpo do request! %s"
"Failed while registering user. Check the data and try again","Falha ao registrar o usuário. Verifique os dados e tente novamente!"
"Error while informing credit card data. Verify data and try again","Erro ao informar os dados de cartão de crédito. Verifique os dados e tente novamente!"
"Impossible to validate your credit card","Não foi possível realizar a verificação do seu cartão de crédito!"
"Incorrect credit card expiration date.","Data de validade do cartão de crédito incorreto"
